loss_ratio,cost_ratio,class_fn,decision_fn,data_bal,threshold,cost,cost_std,loss,loss_std,recall,recall_std,precision,precision_std,f1,f1_std,fbeta,fbeta_std
5,0.1,majority_voting,decision_function_mv,0.1,0.95,300.0,0.0,0.216,0.02,0.846,0.037,0.379,0.021,0.523484081632653,0,0.807720569712237,0
5,0.05,majority_voting,decision_function_mv,0.1,0.7,260.16,7.574,0.093,0.013,0.94,0.023,0.601,0.029,0.7332121998702141,0,0.9200400876918259,0
5,0.05,majority_voting,decision_function_mv,0.1,0.8,366.857,7.893,0.117,0.014,0.957,0.017,0.502,0.03,0.6585524331734064,0,0.9247622714148217,0
5,0.05,majority_voting,decision_function_mv,0.1,0.9,280.046,6.098,0.228,0.019,0.941,0.024,0.322,0.016,0.4798131433095804,0,0.8762153264375484,0
5,0.05,majority_voting,decision_function_mv,0.1,0.95,233.026,3.436,0.257,0.016,0.934,0.022,0.294,0.012,0.44722475570032577,0,0.8618416224046355,0
5,0.2,majority_voting,decision_function_mv,0.5,0.7,820.116,9.612,0.232,0.035,0.935,0.013,0.869,0.014,0.9007926829268292,0,0.9322766990291264,0
5,0.2,majority_voting,decision_function_mv,0.5,0.8,834.32,7.221,0.256,0.033,0.95,0.012,0.786,0.013,0.8602534562211982,0,0.9424368932038834,0
5,0.2,majority_voting,decision_function_mv,0.5,0.9,600.0,0.0,0.465,0.041,0.845,0.016,0.845,0.012,0.845,0,0.8449999999999999,0
5,0.2,majority_voting,decision_function_mv,0.5,0.95,600.0,0.0,0.473,0.039,0.842,0.015,0.844,0.016,0.8429988137603796,0,0.8420767477896272,0
5,0.2,majority_voting,decision_function_mv,0.3,0.7,819.504,8.738,0.203,0.026,0.931,0.015,0.738,0.02,0.8233409227082086,0,0.9217289097569785,0
5,0.2,majority_voting,decision_function_mv,0.3,0.8,831.956,7.422,0.262,0.032,0.948,0.017,0.607,0.02,0.7401106109324759,0,0.9279498852570862,0
5,0.2,majority_voting,decision_function_mv,0.3,0.9,600.0,0.0,0.348,0.033,0.84,0.023,0.699,0.02,0.7630409356725145,0,0.8335331695331696,0
